transaction_id,timestamp,amount,state,merchant_category,card_present,distance_from_home,time_since_last_transaction,transaction_count_24h,device_type,operating_system,browser_type,failed_attempts_1h,ip_proxy_score,transaction_velocity_6h,customer_age_years,account_age_days,card_bin_risk_score,customer_risk_score,chargeback_flag,is_fraud,hour_of_day,day_of_week,weekend,is_night,amount_bracket,amount_velocity_24h,composite_risk_score,location_risk_score
TXN-00935872,2025-02-01 00:05:15,358.81,NY,Retail,1,141.8,84.32287491027319,1,Desktop,Android,Chrome,0,0.1217561253768857,4,34,871,0.3920646063278986,0.2016520849144036,0,0,0,5,1,1,Very High,115.9375985434116,0.2115,0.2198712425519274
TXN-00935828,2025-02-01 00:05:15,67.88,CA,Grocery,1,149.9,59.49959187132997,7,Desktop,Android,Edge,0,0.0914763634728227,14,41,899,0.3179728103339417,0.2484824437748954,0,0,0,5,1,1,High,51.16092184150028,0.1529,0.1313207703196247
TXN-00935788,2025-02-01 00:05:15,22.78,CA,Dining,1,38.8,63.2562560034975,4,Mobile,Windows,Chrome,0,0.5327755613021015,7,68,1059,0.3604586946069132,0.1803536422516939,0,0,0,5,1,1,Low,75.350712316633,0.2819,0.1846371849245498
TXN-00935844,2025-02-01 00:05:15,194.62,OH,Dining,1,236.8,68.33042236104353,9,Mobile,Windows,Chrome,1,0.1405185738977185,11,32,1182,0.0804189112857691,0.0688660117172942,0,0,0,5,1,1,Very High,125.06655138316911,0.2186,0.387011898962833
TXN-00935836,2025-02-01 00:05:15,42.54,TX,Grocery,0,104.0,16.006768746992734,8,Mobile,Windows,Chrome,0,0.0713580433620708,11,54,123,0.1374836670669309,0.5321191289460417,0,0,0,5,1,1,Very High,94.35719164237112,0.2373,0.1953900419062742
TXN-00935938,2025-02-01 00:05:15,98.36,FL,Dining,1,82.5,66.99069902841154,2,Desktop,iOS,Other,0,0.1782257696638346,3,34,1529,0.3888060748793717,0.3219659839857298,0,0,0,5,1,1,High,89.97407454437233,0.124,0.2464956247178304
TXN-00935934,2025-02-01 00:05:15,108.82,CA,Gas Station,1,146.2,30.719775088213694,3,Mobile,Other,Chrome,2,0.2053744409740915,11,33,1183,0.4532341765791565,0.122845725568019,0,0,0,5,1,1,High,132.07038282510524,0.3403,0.0901864238398776
TXN-00935845,2025-02-01 00:05:15,88.17,PA,Department Store,1,98.5,77.05376934977886,1,Desktop,iOS,Safari,1,0.1908172722484227,15,25,1196,0.334333070437271,0.1332259848859574,0,0,0,5,1,1,Medium,134.1584040249282,0.2295,0.2295920693138075
TXN-00935794,2025-02-01 00:05:15,116.98,PA,Grocery,1,173.4,68.83825737667588,5,Desktop,macOS,Firefox,0,0.4599866545828232,10,48,1381,0.2441421537888476,0.1743855842722589,0,0,0,5,1,1,Very Low,43.56024739402008,0.2259,0.195848497541761
TXN-00935953,2025-02-01 00:05:15,49.37,OH,Gas Station,1,52.0,90.04639345880675,9,Mobile,macOS,Safari,1,0.6034374471277448,10,37,1207,0.3372708492442887,0.2710372834297463,0,0,0,5,1,1,Very High,109.20796616516948,0.1033,0.2597527688826389
