transaction_id,timestamp,amount,state,merchant_category,card_present,distance_from_home,time_since_last_transaction,transaction_count_24h,device_type,operating_system,browser_type,failed_attempts_1h,ip_proxy_score,transaction_velocity_6h,customer_age_years,account_age_days,card_bin_risk_score,customer_risk_score,chargeback_flag,is_fraud,hour_of_day,day_of_week,weekend,is_night,amount_bracket,amount_velocity_24h,composite_risk_score,location_risk_score
TXN-00012740,2024-03-01 00:05:15,6.73,TX,Grocery,0,23.8,27.630750101150788,4,Desktop,Windows,Chrome,0,0.3200766098797505,13,29,1419,0.6052986362014534,0.3568301517012993,0,0,0,4,0,1,Very Low,152.50704993197778,0.2784,0.3546309375384401
TXN-00012611,2024-03-01 00:05:15,22.89,PA,Dining,1,42.6,44.78152716513206,6,Mobile,Linux,Safari,1,0.2977525445584126,7,65,1876,0.2600125360037574,0.3068950178801603,0,0,0,4,0,1,Medium,66.828701771218,0.2888,0.0367275756744843
TXN-00012657,2024-03-01 00:05:15,248.71,CA,Entertainment,0,43.4,35.33742283886901,10,Mobile,macOS,Chrome,2,0.4766555376465424,6,27,448,0.3513023428244865,0.0988707705766641,0,0,0,4,0,1,Very High,86.7977483102696,0.3806,0.1219294964812439
TXN-00012774,2024-03-01 00:05:15,7.07,PA,Gas Station,0,78.5,57.177544838485375,12,Desktop,iOS,Safari,0,0.0202180220283556,0,44,1594,0.3251881891542387,0.237248012594975,0,0,0,4,0,1,Low,112.089986874912,0.2238,0.0758435168861714
TXN-00012739,2024-03-01 00:05:15,86.58,MI,Department Store,1,65.3,32.45947055257596,4,Tablet,macOS,Firefox,1,0.4826549993875306,3,33,977,0.3197345515368353,0.2093535012136518,0,0,0,4,0,1,High,153.43194287381286,0.4041,0.0723641393272195
TXN-00012610,2024-03-01 00:05:15,55.17,PA,Dining,1,20.4,111.26234516954644,7,Desktop,iOS,Chrome,0,0.2315162809273466,2,64,1333,0.1972091775941909,0.1251417170745721,0,0,0,4,0,1,High,113.65619643934772,0.2809,0.0321273351853047
TXN-00012806,2024-03-01 01:05:15,48.16,CA,Grocery,1,122.1,29.124718289228287,7,Mobile,macOS,Firefox,2,0.3060826437433022,8,58,1629,0.028053937955945,0.3314485118835034,0,0,1,4,0,1,Very High,-10.79657358128334,0.222,0.590531766302594
TXN-00012783,2024-03-01 01:05:15,250.32,IL,Travel,1,81.8,52.71031811717034,16,Desktop,macOS,Safari,0,0.175654527594001,7,39,1115,0.2478059088029839,0.0735953191974645,0,0,1,4,0,1,Medium,149.87909125010816,0.4067,0.140622844821536
TXN-00012937,2024-03-01 01:05:15,403.27,IL,Grocery,1,89.4,33.746924654130254,4,Desktop,Linux,Safari,1,0.5167333351790467,9,78,920,0.1188165674085158,0.1883490034378492,0,0,1,4,0,1,Very High,71.91759281898362,0.2869,0.1246639650435148
TXN-00012898,2024-03-01 01:05:15,59.73,CA,Gas Station,1,80.9,22.938424632181253,10,Tablet,macOS,Safari,0,0.2521646555779009,7,22,223,0.1657198272757074,0.1827077301074508,0,0,1,4,0,1,Medium,138.112706278497,0.3493,0.0770331949337673
TXN-00012900,2024-03-01 01:05:15,304.12,NC,ATM Withdrawal,0,76.6,32.32823450698409,10,Desktop,iOS,Chrome,1,0.6301695528701275,11,26,1643,0.0541019016209828,0.1322196839374187,0,0,1,4,0,1,Very High,78.45577392893922,0.2243,0.310066955764244
