id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,pub_rec_bankruptcies,default_bool
1077501,1296599,5000,5000,4975.0, 36 months,10.65%,162.87,B,B2,10+ years,RENT,24000.0,Verified,Dec-11,credit_card,860xx,AZ,27.65,0,Jan-85,1,,,3,0,13648,83.70%,9,5863.155187,5833.84,5000.0,863.16,0.0,0.0,0.0,Jan-15,171.62,May-16,0.0,0
1077430,1314167,2500,2500,2500.0, 60 months,15.27%,59.83,C,C4,< 1 year,RENT,30000.0,Source Verified,Dec-11,car,309xx,GA,1.0,0,Apr-99,5,,,3,0,1687,9.40%,4,1008.71,1008.71,456.46,435.17,0.0,117.08,1.11,Apr-13,119.66,Sep-13,0.0,1
1077175,1313524,2400,2400,2400.0, 36 months,15.96%,84.33,C,C5,10+ years,RENT,12252.0,Not Verified,Dec-11,small_business,606xx,IL,8.72,0,Nov-01,2,,,2,0,2956,98.50%,10,3005.666844,3005.67,2400.0,605.67,0.0,0.0,0.0,Jun-14,649.91,May-16,0.0,0
1076863,1277178,10000,10000,10000.0, 36 months,13.49%,339.31,C,C1,10+ years,RENT,49200.0,Source Verified,Dec-11,other,917xx,CA,20.0,0,Feb-96,1,35.0,,10,0,5598,21%,37,12231.89,12231.89,10000.0,2214.92,16.97,0.0,0.0,Jan-15,357.48,Apr-16,0.0,0
1075269,1311441,5000,5000,5000.0, 36 months,7.90%,156.46,A,A4,3 years,RENT,36000.0,Source Verified,Dec-11,wedding,852xx,AZ,11.2,0,Nov-04,3,,,9,0,7963,28.30%,12,5632.21,5632.21,5000.0,632.21,0.0,0.0,0.0,Jan-15,161.03,Jan-16,0.0,0
1069639,1304742,7000,7000,7000.0, 60 months,15.96%,170.08,C,C5,8 years,RENT,47004.0,Not Verified,Dec-11,debt_consolidation,280xx,NC,23.51,0,Jul-05,1,,,7,0,17726,85.60%,11,10110.84,10110.84,6985.61,3125.23,0.0,0.0,0.0,May-16,1313.76,May-16,0.0,0
1072053,1288686,3000,3000,3000.0, 36 months,18.64%,109.43,E,E1,9 years,RENT,48000.0,Source Verified,Dec-11,car,900xx,CA,5.35,0,Jan-07,2,,,4,0,8221,87.50%,4,3939.135294,3939.14,3000.0,939.14,0.0,0.0,0.0,Jan-15,111.34,Dec-14,0.0,0
1071795,1306957,5600,5600,5600.0, 60 months,21.28%,152.39,F,F2,4 years,OWN,40000.0,Source Verified,Dec-11,small_business,958xx,CA,5.55,0,Apr-04,2,,,11,0,5210,32.60%,13,646.02,646.02,162.02,294.94,0.0,189.06,2.09,Apr-12,152.39,Aug-12,0.0,1
1071570,1306721,5375,5375,5350.0, 60 months,12.69%,121.45,B,B5,< 1 year,RENT,15000.0,Verified,Dec-11,other,774xx,TX,18.08,0,Sep-04,0,,,2,0,9279,36.50%,3,1476.19,1469.34,673.48,533.42,0.0,269.29,2.52,Nov-12,121.45,Mar-13,0.0,1
1070078,1305201,6500,6500,6500.0, 60 months,14.65%,153.45,C,C3,5 years,OWN,72000.0,Not Verified,Dec-11,debt_consolidation,853xx,AZ,16.12,0,Jan-98,2,,,14,0,4032,20.60%,23,7678.017673,7678.02,6500.0,1178.02,0.0,0.0,0.0,Jun-13,1655.54,Dec-15,0.0,0
1069908,1305008,12000,12000,12000.0, 36 months,12.69%,402.54,B,B5,10+ years,OWN,75000.0,Source Verified,Dec-11,debt_consolidation,913xx,CA,10.78,0,Oct-89,0,,,12,0,23336,67.10%,34,13947.98916,13947.99,12000.0,1947.99,0.0,0.0,0.0,Sep-13,6315.3,Aug-13,0.0,0
1064687,1298717,9000,9000,9000.0, 36 months,13.49%,305.38,C,C1,< 1 year,RENT,30000.0,Source Verified,Dec-11,debt_consolidation,245xx,VA,10.08,0,Apr-04,1,,,4,0,10452,91.70%,9,2270.7,2270.7,1256.14,570.26,0.0,444.3,4.16,Jul-12,305.38,Nov-12,0.0,1
1069866,1304956,3000,3000,3000.0, 36 months,9.91%,96.68,B,B1,3 years,RENT,15000.0,Source Verified,Dec-11,credit_card,606xx,IL,12.56,0,Jul-03,2,,,11,0,7323,43.10%,11,3480.269999,3480.27,3000.0,480.27,0.0,0.0,0.0,Jan-15,102.43,May-16,0.0,0
1069057,1303503,10000,10000,10000.0, 36 months,10.65%,325.74,B,B2,3 years,RENT,100000.0,Source Verified,Dec-11,other,951xx,CA,7.06,0,May-91,2,,,14,0,11997,55.50%,29,7471.99,7471.99,5433.47,1393.42,0.0,645.1,6.3145,Oct-13,325.74,Mar-14,0.0,1
1069759,1304871,1000,1000,1000.0, 36 months,16.29%,35.31,D,D1,< 1 year,RENT,28000.0,Not Verified,Dec-11,debt_consolidation,641xx,MO,20.31,0,Sep-07,1,,,11,0,6524,81.50%,23,1270.716942,1270.72,1000.0,270.72,0.0,0.0,0.0,Jan-15,36.32,May-16,0.0,0
1065775,1299699,10000,10000,10000.0, 36 months,15.27%,347.98,C,C4,4 years,RENT,42000.0,Not Verified,Dec-11,home_improvement,921xx,CA,18.6,0,Oct-98,2,61.0,,14,0,24043,70.20%,28,12527.15,12527.15,10000.0,2527.15,0.0,0.0,0.0,Jan-15,370.46,Apr-15,0.0,0
1069971,1304884,3600,3600,3600.0, 36 months,6.03%,109.57,A,A1,10+ years,MORTGAGE,110000.0,Not Verified,Dec-11,major_purchase,067xx,CT,10.52,0,Aug-93,0,,,20,0,22836,16%,42,3785.271965,3785.27,3600.0,185.27,0.0,0.0,0.0,May-13,583.45,May-14,0.0,0
1062474,1294539,6000,6000,6000.0, 36 months,11.71%,198.46,B,B3,1 year,MORTGAGE,84000.0,Verified,Dec-11,medical,890xx,UT,18.44,2,Oct-03,0,8.0,,4,0,0,37.73%,14,7167.072893,7167.07,6000.0,1152.07,15.00000003,0.0,0.0,Feb-15,16.98,Jul-15,0.0,0
1069742,1304855,9200,9200,9200.0, 36 months,6.03%,280.01,A,A1,6 years,RENT,77385.19,Not Verified,Dec-11,debt_consolidation,921xx,CA,9.86,0,Jan-01,0,,,8,0,7314,23.10%,28,9460.000848,9460.0,9200.0,260.0,0.0,0.0,0.0,Jul-12,8061.1,Feb-16,0.0,0
1069740,1284848,20250,20250,19142.16108, 60 months,15.27%,484.63,C,C4,3 years,RENT,43370.0,Verified,Dec-11,debt_consolidation,770xx,TX,26.53,0,Nov-97,3,,,8,0,17813,85.60%,22,27679.05,25433.6,20250.0,7429.05,0.0,0.0,0.0,Aug-15,6024.09,Mar-16,0.0,0
1039153,1269083,21000,21000,21000.0, 36 months,12.42%,701.73,B,B4,10+ years,RENT,105000.0,Verified,Dec-11,debt_consolidation,335xx,FL,13.22,0,Feb-83,0,,,7,0,32135,90.30%,38,14025.4,14025.4,10694.96,3330.44,0.0,0.0,0.0,Sep-13,701.73,May-16,0.0,1
1069710,1304821,10000,10000,10000.0, 36 months,11.71%,330.76,B,B3,10+ years,OWN,50000.0,Source Verified,Dec-11,credit_card,799xx,TX,11.18,0,Jul-85,0,,,8,0,10056,82.40%,21,11907.35,11907.35,10000.0,1907.35,0.0,0.0,0.0,Jan-15,349.21,May-16,0.0,0
1069700,1304810,10000,10000,10000.0, 36 months,11.71%,330.76,B,B3,5 years,RENT,50000.0,Not Verified,Dec-11,debt_consolidation,917xx,CA,16.01,0,Apr-03,0,,,6,0,17800,91.80%,17,11540.89198,11540.89,10000.0,1540.89,0.0,0.0,0.0,Oct-13,4942.63,Mar-14,0.0,0
1069559,1304634,6000,6000,6000.0, 36 months,11.71%,198.46,B,B3,1 year,RENT,76000.0,Not Verified,Dec-11,major_purchase,900xx,CA,2.4,0,Jun-01,1,,,7,0,5963,29.70%,7,2050.14,2050.14,1305.58,475.25,0.0,269.31,2.57,Oct-12,198.46,Mar-13,0.0,1
1069697,1273773,15000,15000,15000.0, 36 months,9.91%,483.38,B,B1,2 years,MORTGAGE,92000.0,Verified,Dec-11,credit_card,605xx,IL,29.44,0,Feb-02,0,,,8,0,13707,93.90%,31,15823.99905,15824.0,15000.0,824.0,0.0,0.0,0.0,Sep-12,2447.05,Sep-12,0.0,0
1069800,1304679,15000,15000,8725.0, 36 months,14.27%,514.64,C,C2,9 years,RENT,60000.0,Not Verified,Dec-11,debt_consolidation,103xx,NY,15.22,0,Oct-03,1,,,7,0,5872,57.60%,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,May-16,0.0,1
1069657,1304764,5000,5000,5000.0, 60 months,16.77%,123.65,D,D2,2 years,RENT,50004.0,Not Verified,Dec-11,other,150xx,PA,13.97,3,Oct-03,0,20.0,,14,0,4345,59.50%,22,1609.12,1609.12,629.05,719.11,0.0,260.96,2.3,Dec-12,123.65,May-13,0.0,1
1069799,1304678,4000,4000,4000.0, 36 months,11.71%,132.31,B,B3,10+ years,MORTGAGE,106000.0,Not Verified,Dec-11,debt_consolidation,326xx,FL,5.63,1,Aug-84,0,18.0,,12,0,6110,37.70%,44,4486.293519,4486.29,4000.0,486.29,0.0,0.0,0.0,Apr-13,2638.77,May-16,0.0,0
1047704,1278806,8500,8500,8500.0, 36 months,11.71%,281.15,B,B3,< 1 year,RENT,25000.0,Source Verified,Dec-11,credit_card,564xx,MN,12.19,0,Nov-06,0,,,8,0,6441,59.10%,12,10126.08844,10126.09,8500.0,1626.09,0.0,0.0,0.0,Dec-14,581.59,Jan-15,0.0,0
1032111,1261745,4375,4375,4375.0, 36 months,7.51%,136.11,A,A3,7 years,MORTGAGE,17108.0,Source Verified,Dec-11,debt_consolidation,141xx,NY,20.34,0,Dec-87,0,,,6,0,11210,86.90%,12,4899.96,4899.96,4375.0,524.96,0.0,0.0,0.0,Jan-15,144.94,Dec-14,0.0,0
1069539,1304608,31825,31825,31825.0, 36 months,7.90%,995.82,A,A4,5 years,MORTGAGE,75000.0,Verified,Dec-11,debt_consolidation,080xx,NJ,14.03,0,Nov-81,0,,,12,0,23151,27.40%,26,34886.91378,34886.91,31825.0,3061.91,0.0,0.0,0.0,Aug-13,16966.7,Feb-16,0.0,0
1069591,1304289,5000,5000,5000.0, 36 months,8.90%,158.77,A,A5,2 years,RENT,24044.0,Verified,Dec-11,debt_consolidation,974xx,OR,11.93,0,Apr-05,0,45.0,,8,0,2224,29.30%,16,5715.56,5715.56,5000.0,715.56,0.0,0.0,0.0,Jan-15,163.64,May-16,0.0,0
