hour,day_of_week,is_night,amount_paid,log_amount_paid,is_whole_units,currency_mismatch,amount_mismatch_pct,same_account,same_bank,payment_format,payment_currency,sender_txn_count,receiver_txn_count,from_bank_txn_count,to_bank_txn_count,amount_vs_sender_median,Is Laundering
12,5,0,206.46,5.3349,0,0,0.0,0,0,Credit Card,US Dollar,1,1,372,17,1.0,0
16,3,0,9658.45,9.1757,0,0,0.0,0,0,Cheque,Euro,1,1,5,15,1.0,0
0,3,1,1139.54,7.0393,0,0,0.0,0,0,Credit Card,US Dollar,626,1,1770,26,1.1254,0
16,6,0,167517.07,12.0288,0,0,0.0,0,0,Cheque,Rupee,1,1,11,17,1.0,0
0,1,1,553.89,6.3188,0,0,0.0,0,0,Credit Card,Brazil Real,2,1,19,43,0.038,0
9,4,0,1926.7,7.5641,0,0,0.0,0,0,Cheque,US Dollar,1,1,27,13,1.0,0
9,4,0,2896608.39,14.8791,0,0,0.0,0,0,Cheque,Rupee,1,1,7,4,1.0,0
22,3,1,699.31,6.5515,0,0,0.0,0,0,Credit Card,Euro,383,1,1770,32,0.7168,0
3,4,1,155.14,5.0508,0,0,0.0,0,0,Cheque,US Dollar,1,1,9,5,1.0,0
0,3,1,50.75,3.9464,0,0,0.0,0,0,Cheque,US Dollar,2,2,65,28,0.2069,0
19,3,0,6540.19,8.7859,0,0,0.0,0,0,ACH,Euro,1,1,30,21,1.0,0
17,4,0,14418.45,9.5763,0,0,0.0,0,0,Credit Card,Yuan,1,1,100,56,1.0,0
7,3,0,3246.93,8.0858,0,0,0.0,0,0,Credit Card,US Dollar,1,1,72,24,1.0,0
2,2,1,4255.78,8.3563,0,0,0.0,0,0,Cheque,Yuan,1,2,34,19,1.0,0
12,4,0,2572.79,7.8531,0,0,0.0,0,0,Cheque,UK Pound,20,1,1770,13,2.3088,0
12,4,0,5123.95,8.5419,0,0,0.0,0,0,Cheque,US Dollar,626,1,1770,10,5.0603,0
6,5,0,3307.15,8.1041,0,0,0.0,0,0,Cheque,Australian Dollar,60,1,1770,13,2.712,0
22,4,1,2457415.17,14.7146,0,0,0.0,0,0,Cash,Rupee,1,1,21,41,1.0,0
0,3,1,8566.76,9.0558,0,0,0.0,1,1,Reinvestment,Euro,1,1,2,2,1.0,0
19,1,0,511.67,6.2396,0,0,0.0,0,0,Credit Card,US Dollar,626,1,1770,4,0.5053,0
11,3,0,3472.18,8.1528,0,0,0.0,0,0,Credit Card,Euro,2,1,64,6,1.9626,0
0,3,1,12.246606,2.5837,0,0,0.0,0,0,Bitcoin,Bitcoin,1,1,90,24,1.0,0
11,3,0,210136857.23,19.1633,0,0,0.0,0,0,Cheque,US Dollar,1,1,35,14,1.0,0
16,3,0,1439941.3,14.1801,0,0,0.0,0,0,Cheque,Yen,1,1,5,2,1.0,0
12,4,0,17835.85,9.789,0,0,0.0,0,0,Cheque,US Dollar,1,1,9,7,1.0,0
7,4,0,14.17,2.7193,0,0,0.0,0,0,Credit Card,Australian Dollar,1,1,76,185,1.0,0
3,5,1,280.3,5.6394,0,0,0.0,0,0,Credit Card,US Dollar,1,1,380,48,1.0,0
13,6,0,14989.94,9.6152,0,0,0.0,0,0,Cheque,Ruble,1,1,10,15,1.0,0
21,4,0,1197.53,7.0889,0,0,0.0,0,0,Cheque,Saudi Riyal,1,1,13,63,1.0,0
2,4,1,8556.37,9.0545,0,0,0.0,0,0,Credit Card,Yuan,113,1,1770,72,1.5166,0
23,4,1,1901.86,7.5511,0,0,0.0,0,0,Credit Card,US Dollar,1,1,43,17,1.0,0
7,2,0,369.69,5.9154,0,0,0.0,0,0,Credit Card,US Dollar,1,1,9,23,1.0,0
23,3,1,1785.13,7.4878,0,0,0.0,1,1,Reinvestment,US Dollar,1,1,27,17,1.0,0
3,2,1,4551.74,8.4235,0,0,0.0,0,0,Credit Card,US Dollar,1,1,15,7,1.0,0
8,3,0,3250.59,8.0869,0,0,0.0,0,0,Cheque,US Dollar,2,1,106,19,1.7549,0
23,3,1,49337.47,10.8065,0,0,0.0,0,0,Cheque,US Dollar,2,1,18,22,1.9869,0
