atm_name,transaction_date,total_amount_withdrawn,weekday,working_day,day_of_week,day_of_month,month,week_of_month,is_month_start,is_month_end,atm_level,atm_dow_level
Airport ATM,2011-01-16,154100,sunday,H,6,16,1,3,0,0,427893.3333333333,395200.0
Airport ATM,2011-01-17,100000,monday,H,0,17,1,3,0,0,410781.25,253266.66666666666
Airport ATM,2011-01-18,343100,tuesday,W,1,18,1,3,0,0,392500.0,376033.3333333333
Airport ATM,2011-01-19,428900,wednesday,W,2,19,1,3,0,0,389755.55555555556,425133.3333333333
Airport ATM,2011-01-20,298000,thursday,W,3,20,1,3,0,0,391815.7894736842,485366.6666666667
Airport ATM,2011-01-21,350000,friday,W,4,21,1,3,0,0,387125.0,381400.0
Airport ATM,2011-01-22,363600,saturday,H,5,22,1,4,0,0,385357.14285714284,381100.0
Airport ATM,2011-01-23,288500,sunday,H,6,23,1,4,0,0,384368.1818181818,387300.0
Airport ATM,2011-01-24,247800,monday,W,0,24,1,4,0,0,380200.0,262075.0
Airport ATM,2011-01-25,363100,tuesday,W,1,25,1,4,0,0,374683.3333333333,343975.0
Airport ATM,2011-01-26,248200,wednesday,H,2,26,1,4,0,0,374220.0,409625.0
Airport ATM,2011-01-27,402100,thursday,W,3,27,1,4,0,0,369373.07692307694,426075.0
Airport ATM,2011-01-28,191800,friday,W,4,28,1,4,0,0,370585.18518518517,386575.0
Airport ATM,2011-01-29,384600,saturday,H,5,29,1,5,0,1,364200.0,333775.0
Airport ATM,2011-01-30,194400,sunday,H,6,30,1,5,0,1,359957.14285714284,386760.0
Airport ATM,2011-01-31,526000,monday,W,0,31,1,5,0,1,357307.14285714284,248540.0
Airport ATM,2011-02-01,578100,tuesday,W,1,1,2,1,1,0,354525.0,380380.0
Airport ATM,2011-02-02,472000,wednesday,W,2,2,2,1,1,0,355828.5714285714,443320.0
Airport ATM,2011-02-03,467800,thursday,W,3,3,2,1,1,0,353757.14285714284,435260.0
Airport ATM,2011-02-04,534800,friday,W,4,4,2,1,0,0,354946.4285714286,402820.0
Airport ATM,2011-02-05,520200,saturday,H,5,5,2,1,0,0,362089.28571428574,373980.0
Airport ATM,2011-02-06,478900,sunday,H,6,6,2,1,0,0,362135.71428571426,409000.0
Airport ATM,2011-02-07,440400,monday,W,0,7,2,1,0,0,367200.0,286933.3333333333
Airport ATM,2011-02-08,609200,tuesday,W,1,8,2,2,0,0,367778.5714285714,390383.3333333333
Airport ATM,2011-02-09,507800,wednesday,W,2,9,2,2,0,0,375582.14285714284,470966.6666666667
Airport ATM,2011-02-10,456800,thursday,W,3,10,2,2,0,0,375960.71428571426,447350.0
Airport ATM,2011-02-11,406100,friday,W,4,11,2,2,0,0,377571.4285714286,411816.6666666667
Airport ATM,2011-02-12,429200,saturday,H,5,12,2,2,0,0,375700.0,379333.3333333333
Airport ATM,2011-02-13,288100,sunday,H,6,13,2,2,0,0,385196.4285714286,411885.71428571426
Airport ATM,2011-02-14,365800,monday,W,0,14,2,2,0,0,389982.14285714284,287100.0
Airport ATM,2011-02-15,362000,tuesday,W,1,15,2,3,0,0,399475.0,386871.4285714286
Airport ATM,2011-02-16,277900,wednesday,H,2,16,2,3,0,0,400150.0,455400.0
Airport ATM,2011-02-17,292300,thursday,W,3,17,2,3,0,0,394757.14285714284,423142.85714285716
Airport ATM,2011-02-18,242200,friday,W,4,18,2,3,0,0,394553.5714285714,394742.85714285716
Airport ATM,2011-02-19,454200,saturday,H,5,19,2,3,0,0,390703.5714285714,359742.85714285716
Airport ATM,2011-02-20,347800,sunday,H,6,20,2,3,0,0,393939.28571428574,417175.0
Airport ATM,2011-02-21,285600,monday,W,0,21,2,3,0,0,396057.14285714284,294687.5
Airport ATM,2011-02-22,350400,tuesday,W,1,22,2,4,0,0,397407.14285714284,374212.5
Airport ATM,2011-02-23,434100,wednesday,W,2,23,2,4,0,0,396953.5714285714,442275.0
Airport ATM,2011-02-24,205700,thursday,W,3,24,2,4,0,0,403592.85714285716,424512.5
Airport ATM,2011-02-25,291300,friday,W,4,25,2,4,0,0,396578.5714285714,371112.5
Airport ATM,2011-02-26,608300,saturday,H,5,26,2,4,0,1,400132.14285714284,351187.5
Airport ATM,2011-02-27,300000,sunday,H,6,27,2,4,0,1,408121.4285714286,430287.5
Airport ATM,2011-02-28,354200,monday,W,0,28,2,4,0,1,411892.85714285716,298612.5
Airport ATM,2011-03-01,519100,tuesday,W,1,1,3,1,1,0,405757.14285714284,343000.0
Airport ATM,2011-03-02,616800,wednesday,W,2,2,3,1,1,0,403650.0,439462.5
Airport ATM,2011-03-03,342800,thursday,W,3,3,3,1,1,0,408821.4285714286,435362.5
Airport ATM,2011-03-04,433000,friday,W,4,4,3,1,0,0,404357.14285714284,359650.0
Airport ATM,2011-03-05,585800,saturday,H,5,5,3,1,0,0,400721.4285714286,363462.5
Airport ATM,2011-03-06,428600,sunday,H,6,6,3,1,0,0,403064.28571428574,438650.0
Airport ATM,2011-03-07,409800,monday,W,0,7,3,1,0,0,401267.85714285716,310050.0
Airport ATM,2011-03-08,670700,tuesday,W,1,8,3,2,0,0,400175.0,341200.0
Airport ATM,2011-03-09,641900,wednesday,W,2,9,3,2,0,0,402371.4285714286,474462.5
Airport ATM,2011-03-10,372600,thursday,W,3,10,3,2,0,0,407160.71428571426,453450.0
Airport ATM,2011-03-11,299400,friday,W,4,11,3,2,0,0,404153.5714285714,354762.5
Airport ATM,2011-03-12,634000,saturday,H,5,12,3,2,0,0,400342.85714285716,343575.0
Airport ATM,2011-03-13,355700,sunday,H,6,13,3,2,0,0,407657.14285714284,497487.5
Airport ATM,2011-03-14,474700,monday,W,0,14,3,2,0,0,410071.4285714286,335250.0
