hour_of_day,is_weekend,is_night_transaction,country,city,merchant_category,payment_method,device_type,customer_age,credit_score,account_age_years,account_balance,transaction_amount,num_prev_transactions,transaction_freq_monthly,distance_from_home_km,time_since_last_txn_hrs,is_international,failed_attempts,pin_changed_recently,is_fraud
17,1,0,Canada,Tokyo,Healthcare,Debit Card,ATM,37,645,3.5,3681.91,12.11,152,15,35.4,13.86,0,0,0,0
3,0,1,India,Osaka,Restaurant,Bank Transfer,Tablet,51,773,3.0,11564.36,23.8,142,16,18.0,11.57,0,0,0,0
18,0,0,Mexico,Rio,Gaming,Credit Card,Mobile,18,832,0.2,15157.6,51.44,148,12,15.3,9.3,0,0,0,0
6,0,1,USA,Guadalajara,Online Shopping,Credit Card,Desktop,40,672,1.5,4230.8,60.92,181,16,4.3,31.75,0,0,0,0
22,0,1,USA,Osaka,Jewelry,Credit Card,Desktop,68,793,9.7,8086.73,1445.83,158,20,56.4,11.57,0,0,1,0
14,0,0,France,São Paulo,Travel,Credit Card,Mobile,31,632,4.4,218831.8,512.97,138,21,6.9,15.73,0,0,0,0
4,1,1,UK,Melbourne,Electronics,Credit Card,Tablet,18,602,13.9,6768.7,1983.67,124,25,26.7,7.58,0,0,0,0
12,0,0,Japan,Paris,Restaurant,Mobile Payment,Mobile,50,661,0.1,4361.28,19.41,151,14,6.1,6.07,0,5,0,0
21,0,0,Japan,Vancouver,Travel,Bank Transfer,Desktop,54,721,16.7,5704.46,554.55,139,17,10.2,10.02,0,0,0,0
9,1,0,India,Delhi,Restaurant,Credit Card,Tablet,18,602,0.7,8821.02,84.92,158,20,2.0,21.29,1,0,0,0
11,0,0,France,Osaka,Jewelry,Debit Card,Desktop,34,610,4.0,1299.75,242.03,170,23,18.3,2.54,0,0,0,0
12,0,0,Brazil,Guadalajara,Travel,Debit Card,Desktop,37,700,7.5,16473.29,1225.64,145,18,44.3,1.72,0,0,0,0
5,0,1,Brazil,New York,ATM Withdrawal,Credit Card,Desktop,39,725,0.5,56048.3,51.4,145,20,14.3,10.25,0,0,0,0
20,0,0,Brazil,New York,Electronics,Debit Card,Desktop,59,677,0.7,6784.65,474.64,132,13,33.2,2.36,0,0,0,0
13,0,0,Germany,Mumbai,Online Shopping,Credit Card,Mobile,64,793,13.9,8483.98,604.41,175,16,14.9,4.02,0,0,0,0
20,0,0,Canada,Melbourne,Healthcare,Crypto,Tablet,35,605,10.2,9060.58,62.49,144,21,3.4,5.27,0,0,0,0
23,0,1,France,Sydney,Crypto Exchange,Credit Card,POS Terminal,30,661,1.8,801.76,23.57,158,13,16.7,54.87,0,0,0,1
14,0,0,Canada,São Paulo,Restaurant,Debit Card,Mobile,64,782,3.2,1730.47,12.9,163,18,6.4,3.53,0,0,0,0
16,1,0,Germany,Osaka,Education,Debit Card,Mobile,24,757,8.6,11375.23,93.02,171,16,18.9,8.5,0,0,0,0
2,0,1,India,Melbourne,Utilities,Debit Card,Mobile,53,624,0.3,2872.44,67.08,158,12,38.2,28.36,0,1,0,0
20,0,0,UK,Melbourne,Online Shopping,Bank Transfer,Mobile,35,712,3.2,2835.48,206.11,159,16,34.1,4.16,0,0,0,0
17,1,0,Japan,Rio,Electronics,Bank Transfer,POS Terminal,20,713,5.0,6380.02,244.56,159,18,0.1,14.69,0,0,0,0
7,1,0,Brazil,Toronto,Utilities,Debit Card,Mobile,32,782,16.1,1336.43,26.53,146,23,14.0,15.03,0,0,0,0
3,0,1,USA,Sydney,Grocery,Credit Card,Mobile,42,694,0.3,6228.01,29.29,155,23,22.5,1.04,0,0,0,1
3,0,1,France,Lyon,Entertainment,Debit Card,Mobile,24,653,6.7,56183.68,44.89,155,23,30.8,18.72,0,1,0,0
13,1,0,Australia,Osaka,Healthcare,Credit Card,Desktop,62,709,6.8,11752.08,23.37,149,16,43.0,19.03,0,1,0,0
6,0,1,USA,Guadalajara,Jewelry,Crypto,Mobile,44,580,11.2,9904.68,450.25,145,21,0.9,25.77,0,0,0,1
8,0,0,India,Vancouver,Healthcare,Crypto,Mobile,39,602,1.6,352924.31,22.22,144,13,60.2,15.01,0,0,0,0
6,0,1,UK,Vancouver,ATM Withdrawal,Bank Transfer,Mobile,43,663,10.1,7512.28,21.86,158,25,3.8,21.05,0,0,1,0
17,1,0,USA,Delhi,Utilities,Bank Transfer,Mobile,49,612,1.0,6734.37,90.68,147,25,6.1,8.06,0,0,0,0
17,0,0,France,Vancouver,Clothing,Credit Card,POS Terminal,38,586,2.2,4110.88,46.08,153,13,8.5,9.68,0,0,0,0
5,0,1,USA,Osaka,Fuel,Credit Card,POS Terminal,19,566,0.3,1596.28,26.04,129,15,51.2,15.95,0,1,0,0
19,1,0,Japan,Munich,Crypto Exchange,Credit Card,Mobile,44,776,0.1,7789.36,132.17,161,20,2.5,14.42,0,0,0,0
6,1,1,USA,Munich,Utilities,Debit Card,Mobile,56,663,3.3,24696.71,33.22,159,19,0.8,25.33,0,0,0,0
23,0,1,USA,Vancouver,Entertainment,Bank Transfer,Mobile,62,708,1.9,11911.54,51.72,148,16,13.6,8.98,0,0,0,0
7,0,0,USA,Los Angeles,Education,Debit Card,ATM,35,635,15.2,26904.19,39.64,124,23,24.2,10.19,0,5,0,0
7,1,0,USA,Rio,Electronics,Credit Card,Mobile,43,708,1.1,25547.81,40.41,155,16,32.7,21.29,0,0,0,0
7,0,0,Mexico,Mumbai,Grocery,Debit Card,POS Terminal,38,708,5.6,9083.72,63.22,130,13,17.5,3.5,1,0,0,0
2,0,1,India,Mexico City,Clothing,Credit Card,Mobile,64,658,7.0,18668.37,30.88,148,19,3.7,16.12,0,0,0,0
11,0,0,Germany,Rio,ATM Withdrawal,Debit Card,Desktop,48,719,1.4,14707.07,196.85,160,14,50.4,2.87,0,0,0,0
10,0,0,India,Los Angeles,Clothing,Debit Card,Mobile,18,620,4.6,51763.96,26.17,138,33,27.2,7.62,0,0,0,0
11,1,0,Germany,Rio,Travel,Crypto,ATM,42,725,2.4,268.8,972.54,163,14,24.0,9.77,0,0,0,0
1,0,1,France,Osaka,Electronics,Credit Card,Mobile,55,780,2.8,1234.01,587.16,154,20,9.9,14.67,0,0,0,0
15,0,0,USA,Melbourne,Healthcare,Bank Transfer,POS Terminal,45,795,2.3,5419.68,82.89,170,14,30.9,23.47,0,0,0,0
18,0,0,UK,Sydney,ATM Withdrawal,Bank Transfer,Desktop,29,669,0.9,8242.0,68.97,172,28,17.8,18.82,0,0,0,0
23,0,1,Germany,Munich,Education,Debit Card,ATM,65,681,1.3,1084.54,31.49,128,17,56.4,11.11,0,0,0,0
17,0,0,France,Mexico City,Gaming,Debit Card,Mobile,41,713,7.2,7950.75,80.21,132,21,49.6,3.18,1,5,0,0
20,0,0,India,Tokyo,Fuel,Credit Card,Mobile,54,630,0.2,35083.79,284.54,140,15,8.6,3.64,0,0,0,0
14,0,0,India,Delhi,Healthcare,Debit Card,ATM,43,729,3.3,1671.99,41.22,159,13,7.3,2.48,0,0,0,0
8,0,0,Brazil,São Paulo,Restaurant,Bank Transfer,Desktop,56,659,3.4,19832.78,22.72,144,20,6.0,13.19,0,0,0,0
17,1,0,USA,New York,Electronics,Credit Card,POS Terminal,31,725,2.2,4781.59,261.06,160,14,73.6,2.17,0,0,0,0
12,0,0,USA,Guadalajara,Entertainment,Credit Card,ATM,44,635,4.0,2865.28,5.77,138,20,5.3,7.78,0,0,0,0
10,0,0,Brazil,Rio,Online Shopping,Debit Card,Desktop,45,555,1.4,4504.21,44.13,162,16,0.4,3.06,0,1,0,0
15,0,0,UK,São Paulo,Travel,Crypto,Mobile,18,625,8.7,63782.34,449.13,170,25,8.0,18.52,0,0,0,0
17,0,0,Australia,Manchester,ATM Withdrawal,Debit Card,Mobile,18,616,20.1,13563.7,51.59,146,24,36.1,5.63,0,0,0,0
4,0,1,France,Mexico City,Online Shopping,Mobile Payment,Mobile,21,608,0.6,10410.66,240.38,165,23,45.5,5.14,1,1,0,1
23,0,1,Japan,São Paulo,Utilities,Debit Card,Desktop,49,683,15.0,6380.24,32.53,161,18,2.8,4.71,0,2,0,0
21,0,0,Mexico,London,Utilities,Bank Transfer,Mobile,56,683,5.0,8595.39,22.38,159,17,0.8,6.77,0,0,0,0
2,1,1,India,Manchester,Grocery,Debit Card,Mobile,39,779,3.5,27586.5,31.84,162,20,22.6,9.49,0,1,1,0
6,1,1,France,Osaka,ATM Withdrawal,Cheque,Mobile,44,624,7.0,4276.3,128.42,158,16,12.3,5.3,0,0,0,0
14,0,0,USA,Lyon,Jewelry,Mobile Payment,Mobile,29,719,10.2,32419.1,126.0,132,19,9.8,1.34,0,0,0,0
17,0,0,UK,Sydney,ATM Withdrawal,Bank Transfer,Desktop,49,683,7.6,2791.62,18.63,149,19,11.3,11.71,0,0,0,0
16,0,0,UK,Mumbai,Healthcare,Credit Card,Tablet,52,710,4.6,11159.43,35.62,159,21,6.2,9.32,0,0,0,0
4,0,1,Australia,New York,Gaming,Credit Card,Mobile,33,605,7.5,18898.52,144.75,150,12,2.9,12.34,0,0,0,0
14,0,0,USA,Berlin,Grocery,Credit Card,Desktop,33,527,4.3,7101.53,359.22,127,24,3.5,4.48,0,0,0,0
13,0,0,Germany,Vancouver,Grocery,Credit Card,Desktop,53,490,0.3,1114.92,16.06,168,27,16.6,3.14,0,0,0,0
13,0,0,Mexico,New York,Healthcare,Bank Transfer,ATM,40,782,2.6,22736.91,39.46,161,19,2.2,0.84,0,0,0,0
4,0,1,UK,Mexico City,Grocery,Debit Card,Mobile,40,562,6.6,7828.31,28.18,149,19,17.6,15.93,0,0,0,0
22,0,1,India,Mexico City,Healthcare,Debit Card,POS Terminal,48,670,16.0,5393.27,9.86,112,27,22.5,12.61,0,0,0,0
14,1,0,France,Rio,Utilities,Debit Card,Mobile,51,755,5.4,19293.56,52.27,149,21,43.7,3.44,1,0,0,0
9,0,0,India,São Paulo,Online Shopping,Crypto,Desktop,48,662,0.4,8955.21,8.95,143,22,6.4,8.82,1,0,1,0
16,0,0,India,Berlin,Clothing,Crypto,Mobile,50,647,4.1,6809.81,20.34,152,22,33.4,12.19,0,0,0,0
3,0,1,India,Toronto,Jewelry,Credit Card,ATM,35,616,23.5,3959.57,1384.72,182,17,63.9,19.32,1,0,0,0
3,0,1,UK,Mexico City,Crypto Exchange,Bank Transfer,Mobile,34,544,0.3,5755.57,8.91,157,22,7.4,12.77,1,0,0,0
